X;Y;amenageur;operateur;enseigne;idstation;station;adstation;codeinsee;Xlongitude;Ylatitude;nbrepdc;idpdc;puissmax;typeprise;accesrecharge;accessibilité;observations;date_maj
6.9788911;43.5475196005416;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*82*_*_*_;Cannes Parking Correia;;06029;6.9788911;43.5475196005417;2;;;type2,typee;Payant;24/7;node/7235340052;2020/03/01
7.0163609;43.5775337005414;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*83*_*_*_;Le Cannet Parking des Moulières;;06030;7.0163609;43.5775337005414;2;;;type2,typee;Payant;24/7;node/5905939284;2020/03/01
7.0158091;43.5692031005415;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*84*_*_*_;Le Cannet Parking Grignan;;06030;7.0158091;43.5692031005415;2;;;type2,typee;Payant;24/7;node/7235364223;2020/03/01
6.998012;43.5771290005414;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*85*_*_*_;Le Cannet Parking les Lentisques;;06030;6.998012;43.5771290005414;2;;;type2,typee;Payant;24/7;node/7254778504;2020/03/01
7.006267;43.5763960005414;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*86*_*_*_;Le Cannet Parking Stade Jeanpierre;;06030;7.006267;43.5763960005414;2;;;type2,typee;Payant;24/7;node/7236685140;2020/03/01
6.9682406;43.5665607005415;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*87*_*_*_;Le Cannet Parking mairie annexe Les Paradisiers;;06030;6.9682406;43.5665607005415;2;;;type2,typee;Payant;24/7;node/6034911128;2020/03/01
7.0185376;43.5753867005414;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*88*_*_*_;Le Cannet Parking Rue des Orangers;;06030;7.0185376;43.5753867005415;2;;;type2,typee;Payant;24/7;node/5922730621;2020/03/01
6.9937988;43.5691145005415;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*89*_*_*_;Le Cannet Parking Buffon;;06030;6.9937988;43.5691145005415;2;;;type2,typee;Payant;24/7;node/6017903153;2020/03/01
7.00874;43.5513201005416;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*9*_*_*_;FR*A18*P*WIIZ*9*_*_*_ - Cannes Parking St Dizier;;06029;7.00874;43.5513201005416;2;;;type2,typee;Payant;24/7;node/6087608271;2020/03/01
7.013914;43.5568762005416;CAPL;WiiiZ;wiiiz;FR*A16*P*WIIZ*1*_*_*_;Cannes Parking Saint-Louis;;06029;7.013914;43.5568762005416;2;;;type2,typee;Payant;24/7;node/6053377493;2020/05/18
7.4356073;43.7515689005391;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06012*001;;;06012;7.4356073;43.7515689005391;2;;;type2,typee;Payant;24/7;node/7314626146;2020/03/21
7.416627;43.7387280005394;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06012*002;;;06012;7.416627;43.7387280005394;2;;;type2,typee;Payant;24/7;node/7314626148;2020/03/21
7.426915;43.7445250005392;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06012*003;;;06012;7.426915;43.7445250005392;2;;;type2,typee;Payant;24/7;node/7314626147;2020/03/21
7.5139285;43.9368252005346;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06023*001;;;06023;7.5139285;43.9368252005347;2;;;type2,typee;Payant;24/7;node/7314613955;2020/03/21
7.497872;43.806605000538;CARF;Bouygues Énergies et Services;Alizé Liberté;FR*A22*P06035*001;;;06035;7.497872;43.806605000538;2;;;type2,typee;Payant;24/7;node/7314626092;2020/03/21
